system,compact_to_standard_delta_pp,compact_to_standard_ci_lo_pp,compact_to_standard_ci_hi_pp,compact_to_standard_n,standard_to_hard_delta_pp,standard_to_hard_ci_lo_pp,standard_to_hard_ci_hi_pp,standard_to_hard_n,compact_to_hard_delta_pp,compact_to_hard_ci_lo_pp,compact_to_hard_ci_hi_pp,compact_to_hard_n
structured_sonnet,0.67,-3.67,5.33,300,-0.29,-3.71,3.14,350,0.33,-4.0,4.67,300
long_context_sonnet46,-2.33,-6.67,1.67,300,2.29,-1.14,5.71,350,0.33,-3.33,4.0,300
long_context_mistral,-4.33,-8.33,-0.67,300,1.43,-2.57,5.14,350,-2.0,-6.33,2.33,300
recency_wrapper,-4.33,-10.33,2.0,300,-7.14,-12.57,-1.14,350,-14.0,-20.0,-8.0,300
sonnet_extract,-5.0,-11.33,1.33,300,-4.29,-9.43,1.14,350,-10.0,-16.0,-4.33,300
active_state_wrapper,-6.0,-11.67,-0.33,300,-3.71,-9.43,1.71,350,-11.0,-17.0,-5.0,300
recency_rag,-16.33,-22.67,-10.0,300,0.0,-4.86,4.86,350,-16.33,-22.33,-10.33,300
long_context_llama8b,-15.0,-20.33,-9.67,300,-10.29,-15.71,-5.14,350,-24.0,-30.0,-17.67,300
graphiti,-6.38,-12.42,-0.34,298,-0.58,-5.51,4.64,345,-6.73,-12.79,-0.34,297
naive_rag,-8.33,-15.0,-2.0,300,-2.29,-7.43,2.86,350,-8.67,-15.33,-2.33,300
graphiti_inv_off,-3.36,-9.4,3.02,298,-1.45,-6.38,4.06,345,-4.04,-10.1,2.36,297
